instance_index,explanation,explanation_map
16,"[('tri > 0.90', 0.09652072303074798), ('dem > 0.41', -0.09559303501134746), ('nwdi <= -0.77', -0.07017934916561755), ('slope > -0.28', -0.057546385496143326), ('ndvi > 0.69', -0.034060494259867014)]","{1: [(6, 0.09652072303074798), (8, -0.09559303501134746), (1, -0.07017934916561755), (4, -0.057546385496143326), (0, -0.034060494259867014)]}"
17,"[('dem > 0.41', -0.10126302417712878), ('tri > 0.90', 0.0897917902097538), ('slope <= -0.28', 0.05371511392649624), ('0.08 < nwdi <= 0.72', 0.04848806297895723), ('ndvi <= -0.72', -0.006535735637579112)]","{1: [(8, -0.10126302417712878), (6, 0.0897917902097538), (4, 0.05371511392649624), (1, 0.04848806297895723), (0, -0.006535735637579112)]}"
18,"[('dem > 0.41', -0.10161999029805509), ('slope > -0.28', -0.06394237212492432), ('nwdi <= -0.77', -0.062144020826044845), ('aspect <= -0.70', -0.04396098115810894), ('ndvi > 0.69', -0.02744996561935675)]","{1: [(8, -0.10161999029805509), (4, -0.06394237212492432), (1, -0.062144020826044845), (7, -0.04396098115810894), (0, -0.02744996561935675)]}"
19,"[('dem > 0.41', -0.10726225073205903), ('nwdi <= -0.77', -0.06500210061874324), ('-0.70 < aspect <= -0.16', -0.0639913469226575), ('-0.82 < distancefromriver <= -0.43', 0.05566210206007425), ('slope > -0.28', -0.051781441755020134)]","{1: [(8, -0.10726225073205903), (1, -0.06500210061874324), (7, -0.0639913469226575), (2, 0.05566210206007425), (4, -0.051781441755020134)]}"
20,"[('aspect > 0.94', 0.10828071916427807), ('dem > 0.41', -0.10389158364136253), ('slope > -0.28', -0.04878427073061994), ('tri <= -0.68', -0.036987678741066565), ('0.08 < nwdi <= 0.72', 0.035848715389911655)]","{1: [(7, 0.10828071916427807), (8, -0.10389158364136253), (4, -0.04878427073061994), (6, -0.036987678741066565), (1, 0.035848715389911655)]}"
21,"[('aspect > 0.94', 0.10936930841115874), ('dem > 0.41', -0.1071290358182428), ('tri > 0.90', 0.08612675542086906), ('slope > -0.28', -0.05893055385680719), ('nwdi > 0.72', 0.05184804886261376)]","{1: [(7, 0.10936930841115874), (8, -0.1071290358182428), (6, 0.08612675542086906), (4, -0.05893055385680719), (1, 0.05184804886261376)]}"
22,"[('aspect > 0.94', 0.1063933538180539), ('dem > 0.41', -0.09935300715739431), ('slope > -0.28', -0.056728123727229685), ('-0.82 < distancefromriver <= -0.43', 0.05296846338269971), ('0.08 < nwdi <= 0.72', 0.040375332346915926)]","{1: [(7, 0.1063933538180539), (8, -0.09935300715739431), (4, -0.056728123727229685), (2, 0.05296846338269971), (1, 0.040375332346915926)]}"
23,"[('dem > 0.41', -0.09923353267124675), ('nwdi <= -0.77', -0.060954041130505225), ('slope <= -0.28', 0.056011566909356686), ('tri <= -0.68', -0.038879270050024), ('-0.75 < soils <= 1.32', 0.030250828875021507)]","{1: [(8, -0.09923353267124675), (1, -0.060954041130505225), (4, 0.056011566909356686), (6, -0.038879270050024), (5, 0.030250828875021507)]}"
24,"[('dem > 0.41', -0.11060222883309932), ('slope <= -0.28', 0.060004507669016126), ('aspect <= -0.70', -0.04675876510703083), ('-0.75 < soils <= 1.32', 0.042751648021882666), ('-0.14 < ndvi <= 0.69', 0.024656239977684225)]","{1: [(8, -0.11060222883309932), (4, 0.060004507669016126), (7, -0.04675876510703083), (5, 0.042751648021882666), (0, 0.024656239977684225)]}"
25,"[('aspect > 0.94', 0.105771592864495), ('dem > 0.41', -0.10330876797827401), ('nwdi <= -0.77', -0.07019455029871782), ('slope > -0.28', -0.057611201063000925), ('tri <= -0.68', -0.038099899496427975)]","{1: [(7, 0.105771592864495), (8, -0.10330876797827401), (1, -0.07019455029871782), (4, -0.057611201063000925), (6, -0.038099899496427975)]}"
26,"[('dem > 0.41', -0.10661381996340547), ('slope <= -0.28', 0.05905286135374924), ('aspect <= -0.70', -0.04227543017311483), ('-0.75 < soils <= 1.32', 0.036602441183260025), ('0.08 < nwdi <= 0.72', 0.032338288393008355)]","{1: [(8, -0.10661381996340547), (4, 0.05905286135374924), (7, -0.04227543017311483), (5, 0.036602441183260025), (1, 0.032338288393008355)]}"
27,"[('dem > 0.41', -0.09870629544647097), ('slope > -0.28', -0.061883324455327134), ('nwdi <= -0.77', -0.06023887505367145), ('-0.82 < distancefromriver <= -0.43', 0.057979422915602284), ('ndvi > 0.69', -0.026434017591293445)]","{1: [(8, -0.09870629544647097), (4, -0.061883324455327134), (1, -0.06023887505367145), (2, 0.057979422915602284), (0, -0.026434017591293445)]}"
28,"[('dem > 0.41', -0.10289314089179578), ('nwdi <= -0.77', -0.06432031893331594), ('slope <= -0.28', 0.05727472458326567), ('aspect <= -0.70', -0.04677582389757931), ('ndvi > 0.69', -0.025838771929721942)]","{1: [(8, -0.10289314089179578), (1, -0.06432031893331594), (4, 0.05727472458326567), (7, -0.04677582389757931), (0, -0.025838771929721942)]}"
29,"[('dem > 0.41', -0.10273155886833835), ('nwdi <= -0.77', -0.0641112207869865), ('slope <= -0.28', 0.05959226467532085), ('tri <= -0.68', -0.040053425273560844), ('ndvi > 0.69', -0.027369739705499593)]","{1: [(8, -0.10273155886833835), (1, -0.0641112207869865), (4, 0.05959226467532085), (6, -0.040053425273560844), (0, -0.027369739705499593)]}"
30,"[('aspect > 0.94', 0.11069276691216814), ('dem > 0.41', -0.10537162323370733), ('nwdi <= -0.77', -0.06700146819035219), ('slope > -0.28', -0.058342988753627374), ('ndvi > 0.69', -0.02349245139924693)]","{1: [(7, 0.11069276691216814), (8, -0.10537162323370733), (1, -0.06700146819035219), (4, -0.058342988753627374), (0, -0.02349245139924693)]}"
31,"[('aspect > 0.94', 0.10611228331901304), ('dem > 0.41', -0.10538511662343518), ('tri > 0.90', 0.09100077749693164), ('nwdi <= -0.77', -0.06888222551367378), ('-0.82 < distancefromriver <= -0.43', 0.05265104268163673)]","{1: [(7, 0.10611228331901304), (8, -0.10538511662343518), (6, 0.09100077749693164), (1, -0.06888222551367378), (2, 0.05265104268163673)]}"
32,"[('aspect > 0.94', 0.11042159400185605), ('dem > 0.41', -0.10373683957227488), ('nwdi <= -0.77', -0.05743796116609211), ('slope > -0.28', -0.05641789490642995), ('ndvi > 0.69', -0.02192280010278482)]","{1: [(7, 0.11042159400185605), (8, -0.10373683957227488), (1, -0.05743796116609211), (4, -0.05641789490642995), (0, -0.02192280010278482)]}"
33,"[('dem > 0.41', -0.10248278190429747), ('tri > 0.90', 0.08417612549994523), ('nwdi <= -0.77', -0.064017140477393), ('slope > -0.28', -0.05203242371839862), ('aspect <= -0.70', -0.0366891835769187)]","{1: [(8, -0.10248278190429747), (6, 0.08417612549994523), (1, -0.064017140477393), (4, -0.05203242371839862), (7, -0.0366891835769187)]}"
34,"[('aspect > 0.94', 0.11055642557289189), ('dem > 0.41', -0.1002570637732368), ('nwdi <= -0.77', -0.06358382613933058), ('slope > -0.28', -0.0552674419750247), ('tri <= -0.68', -0.04094886927810219)]","{1: [(7, 0.11055642557289189), (8, -0.1002570637732368), (1, -0.06358382613933058), (4, -0.0552674419750247), (6, -0.04094886927810219)]}"
35,"[('dem > 0.41', -0.1036574136376628), ('nwdi <= -0.77', -0.06346583743735155), ('slope <= -0.28', 0.05992175127048533), ('aspect <= -0.70', -0.04292373128268391), ('ndvi > 0.69', -0.027436074776115777)]","{1: [(8, -0.1036574136376628), (1, -0.06346583743735155), (4, 0.05992175127048533), (7, -0.04292373128268391), (0, -0.027436074776115777)]}"
36,"[('aspect > 0.94', 0.11128628268554672), ('dem > 0.41', -0.10370884554172222), ('tri > 0.90', 0.09054109864875554), ('nwdi <= -0.77', -0.06487894513643289), ('slope > -0.28', -0.0524123689912925)]","{1: [(7, 0.11128628268554672), (8, -0.10370884554172222), (6, 0.09054109864875554), (1, -0.06487894513643289), (4, -0.0524123689912925)]}"
37,"[('dem > 0.41', -0.10036883591317121), ('nwdi <= -0.77', -0.0645358175042112), ('slope <= -0.28', 0.04827838745106365), ('aspect <= -0.70', -0.04156438314104541), ('ndvi > 0.69', -0.024177186428682464)]","{1: [(8, -0.10036883591317121), (1, -0.0645358175042112), (4, 0.04827838745106365), (7, -0.04156438314104541), (0, -0.024177186428682464)]}"
