flood,ndvi,nwdi,distancefromriver,geology,slope,soils,tri,aspect,dem
1,0.10034,-0.10649,2,3,1,2,,1,3
1,0.301441,-0.25327,1,3,3,7,12,1,5
1,0.224822,-0.22565,1,3,2,2,5,31,5
1,0.164924,-0.15669,1,3,2,7,10,23,6
1,0.077119,-0.07117,1,8,1,1,,1,1
1,0.193009,-0.18436,2,3,2,6,23,9,6
1,0.011679,-0.01281,3,1,3,2,23,4,3
1,0.068875,-0.08113,9,6,1,2,,1,3
1,0.048201,-0.05691,3,4,1,2,,1,8
1,0.182351,-0.15372,3,3,2,2,23,13,4
1,0.139691,-0.13825,2,3,2,2,32,1,5
1,0.10896,-0.08635,2,7,2,2,10,29,3
1,0.315948,-0.26697,1,9,3,2,7,17,3
1,0.332927,-0.29487,2,5,2,6,23,9,15
1,0.164924,-0.15669,1,3,2,7,10,23,6
1,0.127235,-0.10227,10,6,1,2,,1,5
1,0.07167,-0.07413,5,6,2,2,19,5,6
1,0.164924,-0.15669,1,3,2,7,10,23,6
1,0.107883,-0.08779,5,7,2,6,5,17,3
1,0.052656,-0.04443,3,1,1,2,,1,2
1,0.157695,-0.12649,1,6,1,4,14,29,2
1,0.197776,-0.15911,1,5,2,2,17,13,8
1,0.069497,-0.06179,1,3,4,6,9,28,3
1,0.227745,-0.21749,2,3,2,2,28,15,10
1,,,6,3,2,7,23,9,12
1,0.056941,-0.07831,3,3,2,3,5,15,3
1,0.283657,-0.23405,2,9,1,2,1,5,3
1,0.258149,-0.25607,1,6,1,5,,1,3
1,-0.00381,0.002415,3,1,2,2,19,11,6
1,0.162221,-0.17634,5,3,2,2,19,3,8
1,0.097251,-0.09128,3,3,1,6,28,1,3
1,0.174532,-0.14996,2,3,3,2,18,13,6
1,0.328898,-0.27848,13,6,1,2,23,21,7
1,0.109429,-0.07936,2,3,2,6,14,29,5
1,0.339502,-0.28979,1,3,1,2,1,21,7
1,0.144157,-0.12813,2,3,1,1,,1,3
1,0.181386,-0.19559,3,6,2,3,14,22,6
1,0.109429,-0.07936,2,3,2,6,14,29,5
1,-0.00381,0.002415,3,1,2,2,19,11,6
1,0.084831,-0.0956,3,1,1,2,1,21,8
1,-0.00381,0.002415,3,1,2,2,19,11,6
1,0.0534,-0.05803,5,6,1,3,,1,2
1,0.026185,0.014536,14,8,1,1,,1,1
1,0.037846,-0.0425,2,3,1,2,,1,3
1,0.109429,-0.07936,2,3,2,6,14,29,5
1,0.056941,-0.07831,3,3,2,3,5,15,3
1,0.108297,-0.10749,2,3,1,2,1,29,6
1,0.014514,-0.00994,1,3,2,7,19,30,4
1,0.108297,-0.10749,2,3,1,2,1,29,6
1,0.168625,-0.15321,2,1,2,2,23,17,9
1,0.182351,-0.15372,3,3,2,2,23,13,4
1,0.086396,-0.06994,3,4,4,3,25,26,17
1,0.108297,-0.10749,2,3,1,2,1,29,6
1,0.224822,-0.22565,1,3,2,2,5,31,5
1,0.241499,-0.22489,1,2,2,2,10,9,3
1,0.064373,-0.05969,2,3,2,6,10,17,5
1,0.035861,-0.02859,3,1,1,2,,1,4
1,0.142411,-0.13301,1,3,2,6,10,2,3
1,0.133589,-0.14055,7,6,2,2,14,30,4
1,0.174497,-0.1458,2,9,2,4,12,29,10
1,0.226462,-0.22531,3,3,1,2,,1,6
